binomial_name,vietnamese_name,family,genus,MIVS
Fowlea piscator,Rắn nước,Colubridae,Fowlea,0
Gonyosoma oxycephalum,"Thanh xà đuôi đỏ, Rắn lục chúa",Colubridae,Gonyosoma,0
Hebius sauteri,Rắn sãi Sau-te,Colubridae,Hebius,0
Homalopsis buccata,Rắn ri cá,Homalopsidae,Homalopsis,0
Homalopsis mereljcoxi,Rắn ri cá,Homalopsidae,Homalopsis,0
Hydrophis curtus,Đẻn cơm,Elapidae,Hydrophis,0
Hydrophis ornatus,Rắn đẻn đuôi sọc,Elapidae,Hydrophis,0
Hydrophis platurus,"Đẻn đuôi vàng, Đẻn sọc dưa",Elapidae,Hydrophis,0
Hydrophis schistosus,Rắn đẻn mỏ,Elapidae,Hydrophis,0
Indotyphlops braminus,"Rắn giun thường, Rắn mù thường, Rắn tim đèn",Typhlopidae,Indotyphlops,0
Laticauda colubrina,Đẻn cạp nong môi vàng,Elapidae,Laticauda,0
Lycodon capucinus,"Rắn khuyết hoa, Rắn khuyết thường",Colubridae,Lycodon,0
Lycodon davisonii,"Rắn dẻ, Rắn dây cương Blanford, Rắn khuyết Blanford",Colubridae,Lycodon,0
Lycodon flavozonatus,"Rắn lệch răng to, Rắn sói răng to",Colubridae,Lycodon,0
Lycodon futsingensis,Rắn khuyết Phúc Thanh,Colubridae,Lycodon,0
Lycodon laoensis,"Rắn khuyết Lào, Rắn sói",Colubridae,Lycodon,0
Lycodon rufozonatus,Rắn lệch đầu hoa,Colubridae,Lycodon,0
Lycodon ruhstrati,Rắn khuyết Đài Loan,Colubridae,Lycodon,0
Malayopython reticulatus,Trăn gấm,Pythonidae,Malayopython,0
Myrrophis chinensis,"Rắn bồng Trung Quốc, Rắn mùng đỏ, Nùng nục đỏ",Homalopsidae,Myrrophis,0
Naja atra,"Rắn hổ mang Trung Quốc, Hổ mang phì, Bành trắng",Elapidae,Naja,1
Naja kaouthia,"Rắn hổ đất, Rắn hổ mang một mắt kính, Rắn hổ chì",Elapidae,Naja,1
Naja siamensis,"Rắn hổ Mèo, Rắn hổ mang Xiêm",Elapidae,Naja,1
Oligodon cinereus,Rắn Khiếm Xám,Colubridae,Oligodon,0
Oligodon fasciolatus,Rắn khiếm đuôi vòng,Colubridae,Oligodon,0
Oligodon formosanus,Rắn khiếm Đài Loan,Colubridae,Oligodon,0
Oligodon taeniatus,"Rắn khiếm vạch, Rắn đòn cân",Colubridae,Oligodon,0
Ophiophagus hannah,"Rắn hổ chúa, Rắn hổ mang chúa, Rắn hổ mây, Rắn hổ đước",Elapidae,Ophiophagus,1
Opisthotropis andersonii,Rắn trán An-dec-son,Colubridae,Opisthotropis,0
Opisthotropis lateralis,Rắn trán Bắc Bộ,Colubridae,Opisthotropis,0
Oreocryptophis porphyraceus,"Rắn sọc đốm đỏ, Rắn tre đỏ",Colubridae,Oreocryptophis,0
Ovophis makazayazaya,"Rắn lục núi, Rắn lục núi Đài Loan",Viperidae,Ovophis,0
Ovophis monticola,"Rắn lục núi, Rắn lục núi Bu-rét, Rắn lục núi phía nam",Viperidae,Ovophis,0
Ovophis tonkinensis,"Rắn lục núi, Rắn lục núi Bắc bộ",Viperidae,Ovophis,0
Pareas berdmorei,"Rắn hổ mây Berdmore, Rắn ăn sên, Rắn hổ mây Mãnh Lạp",Pareatidae,Pareas,0
Pareas carinatus,Rắn hổ mây gờ,Pareidae,Pareas,0
Pareas formosensis,"Rắn hổ mây Đài Loan, Rắn ăn sên",Pareatidae,Pareas,0
Pareas margaritophorus,"Rắn hổ mây ngọc, Rắn ăn sên",Pareatidae,Pareas,0
Protobothrops jerdonii,"Rắn lục Jerdon, Rắn lục hoa cải",Viperidae,Protobothrops,1
Protobothrops mucrosquamatus,Rắn lục cườm,Viperidae,Protobothrops,1
Psammodynastes pulverulentus,Rắn hổ đất nâu,Psammodynastidae,Psammodynastes,0
Pseudoxenodon macrops,Rắn hổ xiên mắt to,Pseudoxenodontidae,Pseudoxenodon,0
Ptyas carinata,"Rắn ráo gờ, Ráo hoa, Long thừa núi, Hổ trâu bông",Colubridae,Ptyas,0
Ptyas dhumnades,"Rắn ráo rừng, Rắn ráo đen, Rắn ráo mắt to",Colubridae,Ptyas,0
Ptyas korros,"Rắn ráo bụng vàng, Rắn ráo thường, Rắn lãi",Colubridae,Ptyas,0
Ptyas major,Rắn đai lớn,Colubridae,Ptyas,0
Ptyas mucosa,"Rắn ráo trâu, Hổ trâu, Hổ vện, Long thừa, Hổ hèo",Colubridae,Ptyas,0
Python bivittatus,Trăn đất,Pythonidae,Python,0
Rhabdophis chrysargos,Hoa cỏ cổ vàng,Colubridae,Rhabdophis,0
Rhabdophis helleri,"Rắn hoa cỏ He-lơ, Rắn hoa cỏ cổ đỏ, Rắn hổ lửa, Rắn hoa cỏ cổ đỏ phương Bắc",Colubridae,Rhabdophis,0
Rhabdophis nigrocinctus,Rắn hoa cỏ đai,Colubridae,Rhabdophis,0
Rhabdophis siamensis,"Rắn hoa cỏ Xiêm, Rắn hoa cỏ cổ đỏ, Rắn hổ lửa",Colubridae,Rhabdophis,0
Rhabdophis tigrinus,Rắn cỏ Nhật,Colubridae,Rhabdophis,1
Sibynophis chinensis,Rắn rồng Trung quốc,Sibynophiidae,Sibynophis,0
Sibynophis collaris,Rắn rồng cổ đen,Sibynophiidae,Sibynophis,0
Sibynophis melanocephalus,Rắn rồng đầu đen,Colubridae,Sibynophis,0
Sinomicrurus macclellandi,"Rắn san hô MacClelland, Rắn san hô đầu bạc",Elapidae,Sinomicrurus,0
Trimeresurus albolabris,"Rắn lục mép trắng, Rắn lục đuôi đỏ",Viperidae,Trimeresurus,1
Trimeresurus cardamomensis,Rắn lục Cardamom,Viperidae,Trimeresurus,0
Trimeresurus gumprechti,Rắn lục xanh Gumprecht,Viperidae,Trimeresurus,1
Trimeresurus guoi,Rắn lục Guo,Viperidae,Trimeresurus,1
Trimeresurus macrops,Rắn lục xanh mắt to,Viperidae,Trimeresurus,1
Trimeresurus rubeus,Rắn lục mắt hồng ngọc,Viperidae,Trimeresurus,1
Trimeresurus stejnegeri,"Rắn lục xanh Trung Quốc, Rắn lục đuôi đỏ, Rắn lục đầu vồ",Viperidae,Trimeresurus,1
Trimeresurus vogeli,"Rắn lục miền Nam, Rắn lục Von-gen",Viperidae,Trimeresurus,1
Trimerodytes aequifasciatus,Rắn hoa cân vân đốm,Colubridae,Trimerodytes,0
Trimerodytes percarinatus,Hoa cân vân đen,Colubridae,Trimerodytes,0
Tropidolaemus wagleri,Rắn lục hoa cân,Viperidae,Tropidolaemus,1
Xenochrophis trianguligerus,Rắn nước vân tam giác,Colubridae,Xenochrophis,0
Xenopeltis unicolor,"Rắn mống thường, Rắn hổ hành, Rắn hổ chì",Xenopeltidae,Xenopeltis,0
